Reviews,food,Safety and Hygiene,location,value for money,hospitality
"Place is very good, staffs are all well behaved, food preparation is superb. Only negative is the lack of adequate name boards to the resort location and the g maps location listed is wrong.

",2,1,1,2,2
"Bad experience hotel cancelled my booking without any intimation

",0,0,0,0,0
"The stay was brief and good.

",1,1,1,1,1
"Happy, safety, very safe place, staff too is fantastic
",1,2,2,2,2
"It's a great place and value for money and staff is very helpful

",1,2,2,2,2
"If you are really looking for some low price rooms with best safety and spacious rooms this is perfect for you. Staff are soft spoken, price is amazing, cleanliness is too good, rooms are spacious. Overall a very good experience
",2,2,2,2,2
"Safety and distancing and security is excellent. Staff is very helpful and polite. Rooms are clean and have good space. Do visit.

",1,2,2,2,2
"Coming late night was safe for me. Railway station is 10 min away. Hotel is on the main road so u can easily get the auto / cab.

",1,2,2,1,1
Staff is not cooperative with us. While we call to them for TV more than 3-4 times call they came but TV was not working.,1,1,1,1,0
"Very very bad experience in my life and food quality was just like poison and location was very dirty and I booked 2 rooms and stayed in 1 room to protect my family
Hotel has to upload pics of entrance area, because outside area very dirty.",0,0,0,0,0
"Ok for the money paid. But do not recommend. Bathroom no good. Ac good. Room ok.

",1,0,1,1,1
"The room was good but the hotel was a bit congested. Also, we were not given the breakfast even after paying for it.

",0,0,1,1,0
"My booking included breakfast but as we just registered ourselves they said they don't have restaurant and we have to order food from outside. And their booking confirmation didn't show breakfast. But next morning they brought breakfast in plastic pouches that too only for one person. And the room too us too small, toilet us like only WC. That small. They don't have staff. Only one boy in reception so u have too carry all your stuffs yourself to first floor. That is their hotel, few rooms in first floor without restaurant. We had very bad experience.",0,0,1,0,0
"This place a lot updated from the last time i visited this place. The new improvement really were hygienic. Will definitely refer this place to everyone, as it is a budget + having fun type of dormitory.

",1,2,1,2,1
"Location is bit confusing to reach, no board outside. Food - breakfast is okay, security is super. Overall recommendable. You can meet multi nationals there.

",1,2,0,1,1
"We were 3 female friends exploring jaipur for the first time. Booked holiday inn through mmt. We had amazing experience staying here. Excellent buffet, with excellent hospitality provided by all staff. We would like to mention about ""mr. Avijit""he gave us excellent service, regarding breakfast food, we must try. And even helped in getting customised food. Overall, luxurious stay with budgeted expense. Along with safety, excellent food and courteous staff. Priya",2,2,2,2,2
stay with family good location proper hygiene maintenance superb breakfast well clean room and services,2,2,2,2,2
"Leela palace is just beyond beautiful. Don't even think once before booking it. The food, hospitality, room, view, property everything is amazing. I would definitely give 5 stars to this wonderful palace.",2,2,2,2,2
Good food is a little expensive 1200- for 1 sandwich and noodles,1,1,2,0,2
Undoubtedly the best place for a family stay. A class apart in all ways.,1,1,2,1,1
"Great location, clean rooms and friendly staff.",1,1,2,2,2
"One of the best properties in anand, but totally not value for money. Too costly with zero facilities",1,1,2,2,0
Very poor communication from the room service department and T. V was not working only.,0,1,1,0,0
The location of hotel is not very popular. It is in a university students and hostel area. hot water supply at bath area was not ok. However it was corrected after multiple attempts. Water supply to the flush box of washroom was not found. It took more than 8 hours and multiple reminders. Finally we were forced to avail another room washroom. Electrical sockets used are of cheap quality and only free to air TV channels are available. no buffet breakfast or major meal is available. I was forced to opt among three varieties of breakfast options although menu book mentions many more. It takes more than 30 minutes to serve the breakfast. Taste of food is good and it was the only admirable thing in hotel. Better options are available for the same price or cheaper.,2,1,0,0,0
Average hotel and average facilities. Not enough safety parameters being followed. Breakfast was pretty below average,1,0,1,1,1
That's have been wonderful experience with IRMA there a class management college. Taste a Gujarati flavor of food. Staff have been very supportive and positive. Service was quite good.,2,1,2,1,2
Economic rate hotel in anand city. Located well. Staff was good. Location good.,1,1,2,2,2
"Resort had all possible safety measures in place, starting from staff awareness and mask discipline, room was sanitized and sealed with tag, all kind of loose items starting from tea/coffee pouch, towels, toiletries etc etc were all nicely packed. Keeping strong check on guests about wearing mask. I personally saw staff denying a guest came to buffet counter without mask. The guests were also so cultured and disciplined, never saw any guest without mask even in open areas, not a single person having it below nose. Overall we felt so safe, never thought of taking any preventive measures like vaporizing or gargles or hot water after we came back home. All in all, it was a wonderful experience from safety point of view.",2,2,2,2,2
